G_filename,H_filename,Score,TP,FP,FN,Reversed Edges,Accuracy,Precision,Recall,F1-Score,Depth Deviation,Mean Depth Error
G_100_30_closeness_centrality,H_100_30_closeness_centrality,closeness_centrality,59,69,40,40,0.35119,0.460938,0.59596,0.519824,0,0.0
G_100_30_clustering_coefficient,H_100_30_clustering_coefficient,clustering_coefficient,19,24,80,11,0.154472,0.44186,0.191919,0.267606,0,0.0
G_100_30_core_number,H_100_30_core_number,core_number,34,0,65,0,0.343434,1.0,0.343434,0.511278,0,0.0
G_100_30_degree_centrality,H_100_30_degree_centrality,degree_centrality,84,33,15,9,0.636364,0.717949,0.848485,0.777778,0,0.0
G_100_30_fiedler_vector,H_100_30_fiedler_vector,fiedler_vector,46,82,53,53,0.254144,0.359375,0.464646,0.405286,0,0.0
G_100_30_hits,H_100_30_hits,hits,50,78,49,49,0.282486,0.390625,0.505051,0.440529,0,0.0
G_100_30_in_degree_centrality,H_100_30_in_degree_centrality,in_degree_centrality,19,45,80,21,0.131944,0.296875,0.191919,0.233129,0,0.0
G_100_30_katz,H_100_30_katz,katz,54,55,45,27,0.350649,0.495413,0.545455,0.519231,0,0.0
G_100_30_laplacian_eigenmap,H_100_30_laplacian_eigenmap,laplacian_eigenmap,46,82,53,53,0.254144,0.359375,0.464646,0.405286,0,0.0
G_100_30_local_efficiency,H_100_30_local_efficiency,local_efficiency,20,25,79,12,0.16129,0.444444,0.20202,0.277778,0,0.0
G_100_30_normalized_laplacian,H_100_30_normalized_laplacian,normalized_laplacian,77,51,22,22,0.513333,0.601562,0.777778,0.678414,0,0.0
G_100_30_our_degree_centrality,H_100_30_our_degree_centrality,our_degree_centrality,83,36,16,10,0.614815,0.697479,0.838384,0.761468,0,0.0
G_100_30_pagerank,H_100_30_pagerank,pagerank,52,76,47,47,0.297143,0.40625,0.525253,0.45815,0,0.0
